ID,Experimental (Koc),BalabanJ,AMID,ATSC2s,nAromAtom,ATSC0pe,ETA_shape_x,fMF,FilterItLogS,ATS8se,ATSC0dv,nBondsD,NddsN,SMR,TIC1,NdO,nP,TpiPC10,SLogP,BCUTs-1h,ATSC1are,EState_VSA7,NdS,ATS5s,nG12FRing,piPC8,ZMIC1
385,1,2.6254,1.9148,0.2462,6,1.8435,0,0.4286,-4.3585,0,39.8871,0,0,50.8944,35.303,0,0,6.0225,3.8824,4.0052,-0.4226,0,0,17.0044,0,0,53.7488
386,1,1.7593,2.0339,-7.0381,12,1.8407,0,0.4615,-3.3818,150.9201,76.6154,0,0,57.8008,61.1528,0,0,7.6936,2.8459,6.0027,-0.19,42.4646,0,110.1667,0,5.8588,41.1586
387,0,2.4911,1.95,18.3422,6,3.4836,0,0.1875,-3.1539,295.605,116,1,0,60.2317,98.9804,1,0,6.5971,2.9183,7.0083,-0.0018,24.2655,0,193.6667,0,4.566,29.2427
390,1,2.4902,1.9498,15.8644,6,3.1498,0,0.1579,-3.9367,528.0246,120.117,0,0,73.7424,94.3461,0,0,6.7916,2.6242,3.0677,0.021,0,0,177.358,0,5.0799,39.9327
391,0,2.3198,1.9386,15.9388,6,2.5299,0,0.4286,-1.5471,0,59.6649,1,0,36.2063,43.7932,1,0,5.9047,1.4332,7.0083,-0.4906,0,0,64.1728,0,0,26.046
392,0,1.9867,2.0447,-6.9941,10,1.7075,0,0.4545,-2.8299,6.7185,67.2727,0,0,49.8708,54.8045,0,0,7.7655,2.3321,6.0027,-0.2008,30.3318,0,112.8333,0,6.1239,34.417
393,1,2.6254,1.9148,0.9533,6,1.9934,0,0.4615,-4.1425,0,41.9658,0,0,48.1468,32.1057,0,0,6.0225,4.0058,6.0028,-0.4323,0,0,15.5886,0,0,54.3978
394,0,2.4837,1.9405,14.2153,6,3.2986,0,0.1765,-3.1839,294.1818,117.7647,0,0,61.3728,91.9151,0,0,6.5704,1.8992,6.0028,-0.0116,21.0191,0,194.8333,0,4.1231,26.5589
395,0,1.9435,1.9934,28.278,6,4.9948,0.0973,0.4516,-2.7745,341.4102,143.5484,4,0,67.5105,108.7093,3,0,7.1551,1.3016,7.0146,-0.3292,0,0,252.713,0,5.248,35.4394
397,1,1.8366,2.0002,0.0971,12,2.1915,0,0.5652,-6.9921,135.6536,81.7197,0,0,83.758,55.0224,0,0,7.7563,6.5289,3.5111,-0.0069,36.3982,0,68.2809,0,5.8732,98.4669
399,0,2.846,1.906,17.9725,6,3.9774,0.0748,0.2222,-2.8625,181.3985,119.9899,2,0,56.0657,78.6075,2,0,6.7409,1.2534,7.0094,-0.1347,0,0,254.4938,0,4.5231,29.005
400,0,2.4419,1.9362,17.7474,6,3.3245,0.0693,0.1935,-4.0095,231.3605,112.0048,0,0,62.3764,81.5222,0,0,6.5235,2.1672,3.0677,-0.1335,27.6949,0,137.8503,0,4.7367,35.9831
405,0,1.9021,2.013,8.9894,6,4.9924,0,0.3793,-2.008,279.6724,137.8621,1,0,56.1707,96.8814,1,0,6.9336,1.4502,7.0083,-0.2661,12.1327,0,174.1667,0,5.0663,31.6339
406,1,1.8719,2.0105,-1.0154,12,1.9563,0,0.5455,-5.7064,55.1135,59.4613,0,0,66.908,47.2948,0,0,7.8544,5.3138,2.2391,0.0025,36.3982,0,75.0165,0,6.0187,56.5774
407,1,2.5691,1.925,1.5012,6,2.895,0.0705,0.3333,-4.3656,0,69.9067,0,0,55.036,61.5489,0,0,6.2653,3.5703,3.5137,-0.1212,0,0,58.7103,0,2.7842,42.5587
409,0,2.2157,1.9459,6.4376,6,3.6158,0,0.2143,-2.0345,203.708,117.7143,1,0,55.6997,88.0766,1,0,6.4204,1.7887,7.0083,-0.0468,0,0,131.8611,0,4.6108,28.6727
410,1,1.4956,2.1095,12.8301,10,7.2131,0,0.5263,-4.1422,601.7335,197.4737,2,0,80.7485,131.8058,2,0,9.5618,1.7369,7.0094,-0.3467,0,0,339.8889,1,7.8244,40.6562
411,1,2.6007,1.9289,6.7894,6,3.3719,0,0.3,-3.0517,60.4662,86.3556,1,0,52.2139,71.6837,1,0,6.4101,2.3622,7.0083,-0.4629,0,0,116.9899,0,3.8937,31.9841
412,1,2.4692,1.9458,16.9679,6,3.0321,0,0.1714,-3.5342,442.5182,116.2222,0,0,69.1254,89.2831,0,0,6.6699,2.2341,3.0676,-0.0152,6.2558,0,160.0247,0,4.8397,37.1072
413,0,3.9636,1.8619,37.3299,0,6.4679,0.1538,0,-0.4554,213.9756,162.8651,3,0,48.4825,78.6075,2,1,5.2627,1.4807,7.0088,-1.9286,0,0,171.1065,0,1.6094,29.7094
414,1,2.6768,1.9536,0.0237,0,4.1338,0.14,0.25,-6.7894,0,53.9806,0,0,83.626,71.3867,0,0,6.2066,5.6627,1.6376,0.0002,0,0,118.4595,0,3.7842,89.4447
415,1,3.6198,1.9071,-8.3783,0,3.5957,0,0,-2.4448,381.5441,95.1891,4,0,119.7442,121.9115,0,0,5.6454,1.1323,4.0033,-1.0501,0,4,115.0679,0,2.9957,74.0388
416,0,2.1906,1.77,-0.7494,0,1.2306,0,0,-1.5448,0,13.0645,1,0,25.713,24.5293,0,0,3.091,1.9777,2.2144,-0.0036,0,0,0,0,0,20.2439
417,0,3.3604,1.7775,18.4385,0,2.8855,0.2564,0,-0.1383,0,61.6165,1,0,32.3179,41.0936,1,1,3.5553,1.0626,7.0066,-1.4302,0,0,24,0,0,21.1381
418,0,4.2114,1.8655,2.969,0,4.4189,0.1667,0,-2.8972,418.771,108.4745,2,0,77.8904,84.9015,1,1,5.124,3.5218,7.0067,-0.8455,34.6187,1,158.1111,0,1.9459,39.5027
419,1,2.2371,1.9656,-2.7964,0,1.8164,0,0.5294,-1.723,0,43.3632,2,0,56.3834,49.4869,0,0,5.0752,1.1279,2.5247,-0.1061,19.506,2,26.2469,0,2.8904,46.9539
