ID,NddsN,nP,TpiPC10,SLogP,BCUTs-1h,NdS,ATS5s,nG12FRing,ZMIC1,Experimental
186,0,0,6.4567,2.8453,7.0083,0,104.8909,0,34.4192,2.23
188,0,0,5.6114,3.6468,2.2102,0,4.1565,0,45,3.1
190,0,1,5.5134,2.1218,7.0094,1,355.0864,0,39.1113,2.36
193,0,0,6.2772,1.3886,3.0677,0,96.8951,0,32.4269,2.1
194,0,0,7.2721,3.4302,2.5268,0,78.3333,0,41.9518,2.78
197,0,0,4.1744,2.1298,7.0083,0,106.6667,0,22.9298,2.06
200,0,0,3.434,3.0682,1.9105,0,0,0,32.8582,2.4
201,0,0,3.7842,0.8069,7.0083,0,3.1481,0,30.8896,0
203,0,0,6.6555,1.2598,7.0094,0,247.25,0,35.3779,1.6
205,0,0,8.5839,3.7903,7.0094,0,382,0,57.8982,3.34
206,0,0,6.4329,2.9135,7.0094,0,162.0525,0,47.3825,2.3
207,0,0,7.2895,3.2585,7.0094,0,143.1975,0,53.4951,3.27
211,0,0,6.5327,2.1656,3.0677,0,137.2798,0,37.1267,2.4
213,0,1,5.3936,1.3959,7.0088,0,185.1389,0,29.1525,1.66
214,0,0,4.0254,2.7293,6.0027,0,92.75,0,31.9398,1.89
216,0,0,5.7652,-0.0508,7.0094,0,316.6667,0,30.9374,2.09
218,0,0,7.1652,2.585,3.0338,0,19.463,0,29.3448,2.25
220,0,0,6.2623,2.4335,7.0083,0,101.142,0,29.7284,1.95
221,0,0,2.3026,-0.4104,2.5217,0,0,0,11,0.78
223,0,0,11.1247,6.3282,2.2664,0,225.1111,1,75.7012,4.61
224,0,0,10.8118,6.2314,2.2691,0,207.5556,1,75.7012,6.2
225,0,0,10.4902,5.6275,2.5562,0,194.4444,1,64.5253,6.03
226,0,0,10.1352,5.6404,2.2733,0,165.5556,1,68.5737,4.34
228,0,0,9.9178,4.5412,3.0341,0,137.4444,1,53.491,4.39
231,0,1,4.6444,3.7277,3.5124,1,86.2469,0,33.4334,2.7
232,0,1,4.7791,3.7702,3.5124,1,110.6967,0,36.5281,3.22
233,0,1,4.6444,3.6512,7.0066,0,85.8457,0,59.6615,2.26
234,0,1,4.7622,1.8891,7.0077,0,92.7917,0,30.9909,1
235,0,0,7.7147,5.2702,2.2124,0,84.2243,1,60.6756,4.69
236,0,0,6.7409,1.5785,7.0094,0,228.0787,0,30.2294,1.6
237,0,0,6.6219,1.1884,7.0094,0,192.7778,0,30.057,2.11
239,0,0,6.2698,1.9192,8.0019,0,123.8333,0,28.2001,1.73
242,0,1,6.9544,3.5847,3.517,1,210.3693,0,37.1603,2.75
243,0,0,5.8579,4.4451,8.0185,0,1555.375,0,81.855,1.83
244,0,0,6.0394,1.7841,8.0019,0,103.8333,0,25.4675,1.57
245,0,0,6.4922,2.6638,8.0074,0,211.0833,0,33.6042,1.75
246,0,0,6.0326,1.7841,8.0019,0,97.7778,0,25.4675,1.48
247,0,0,6.073,5.0804,8.0206,0,1852.9375,0,91.9007,2.89
248,2,0,7.0306,2.104,8.0086,0,343.1667,0,42.0521,2.56
251,0,0,7.7064,3.6123,8.0019,0,143.3333,0,43.3296,3.5
252,0,0,7.8708,3.7924,7.0083,0,337.392,0,50.1267,3.3
254,0,0,6.202,4.5358,4.0052,0,17.7205,0,65.3461,4.62
256,0,0,6.0604,2.2984,7.0083,0,83.6235,0,27.2561,1.58
257,0,0,4.5433,0.7967,2.1421,1,28.0926,0,23.2851,1
258,2,0,6.6812,1.517,8.003,0,216.3333,0,30.9841,2.41
259,0,0,3.989,1.7397,7.0083,0,97.75,0,20.1439,1.97
261,0,0,5.3759,2.9934,2.2463,0,3.6914,0,34.611,2.58
262,1,0,6.5419,1.5532,8.0019,0,186.8333,0,28.5062,1.94
263,0,0,5.6114,2.5756,4.0052,0,15.0617,0,32.7866,2.72
265,0,2,5.4293,5.0053,3.5148,2,134.3946,0,57.5725,4.06
267,0,0,5.6199,2.699,6.0028,0,13.037,0,33.6325,2.66
268,1,0,5.9047,2.3573,8.0019,0,64.7037,0,33.4956,2.41
269,1,0,5.8985,2.3573,8.0019,0,58.7747,0,33.4956,2.42
271,0,0,5.607,2.699,6.0028,0,13.3827,0,33.6325,2.83
272,0,0,5.1195,2.2912,2.2783,0,3.0249,0,36.0453,3.1
273,0,0,2.6391,2.2474,3.0326,0,0,0,43.209,1.64
276,0,0,5.9239,1.4389,7.0083,0,60.7037,0,27.25,1.51
